,Unnamed: 0,Latitude,Longitude,avg_t2m,avg_vsw_0,avg_vsw_1,avg_tciwv,avg_r2,avg_voltso,avg_orog,avg_sot1,avg_sot2,avg_sot3,avg_vwiltm_0
111,111,43.68636994,21.88335218,287.957751,0.19221596,0.236874911,15.60198564,57.68574476,0.377467692,477.3601,290.4263102,281.8371065,288.0379995,0.243505239
112,112,43.67727326,21.95017278,287.3465585,0.183236205,0.212382545,15.59547522,59.53421481,0.343916833,536.7717,288.7357695,281.0625559,288.0851491,0.20137614
113,113,43.66813357,22.01697087,287.4260127,0.183236205,0.212382545,15.59547522,59.07327726,0.332119465,581.5193,288.7357695,281.0625559,288.0851491,0.185671002
114,114,43.65895089,22.08374633,287.9976815,0.208475303,0.254759938,16.13264761,57.02374384,0.328928173,657.49634,291.5043945,282.8541862,288.1322937,0.183605283
115,115,43.64972526,22.15049909,289.5040834,0.208475303,0.254759938,16.13264761,52.11554082,0.384872139,598.38745,291.5043945,282.8541862,288.1322937,0.252937704
116,116,43.64045668,22.21722903,290.3383391,0.168821461,0.21729845,16.59232503,48.7721706,0.388128936,352.82007,294.7498305,284.4799805,288.1793874,0.257615179
117,117,43.96419237,20.08201863,288.4315194,0.153019477,0.167358919,15.51306591,58.0411591,0.272105217,596.5725,291.6565603,282.2437057,286.9981181,0.153108239
118,118,43.95625789,20.14946981,288.7392994,0.153019477,0.167358919,15.51306591,57.23115476,0.288308799,545.9983,291.6565603,282.2437057,286.9981181,0.161864236
119,119,43.94827976,20.21690106,289.4325502,0.139368215,0.151347783,16.01235187,54.32729202,0.319629014,468.20093,293.0580241,283.212237,287.0262451,0.191235125
120,120,43.94025797,20.28431227,290.2721498,0.139368215,0.151347783,16.01235187,50.74705113,0.390711308,340.4807,293.0580241,283.212237,287.0262451,0.259939402
121,121,43.93219257,20.35170336,290.4111201,0.125992185,0.140143331,16.45228803,49.82967933,0.390711308,269.9348,295.2596003,284.3136122,287.0835317,0.259939402
122,122,43.92408356,20.4190742,290.4265823,0.125992185,0.140143331,16.45228803,49.8676024,0.388583004,320.1311,295.2596003,284.3136122,287.0835317,0.257273287
123,123,43.91593097,20.48642472,290.1848289,0.12566776,0.137157724,16.62101284,50.63816447,0.369262516,383.72388,294.0970306,284.0825628,287.1452688,0.233384833
124,124,43.90773483,20.5537548,290.4034432,0.12566776,0.137157724,16.62101284,50.78822957,0.365003467,396.9934,294.0970306,284.0825628,287.1452688,0.22811009
125,125,43.89949515,20.62106435,289.9237612,0.134048909,0.143404432,16.71241069,51.56904554,0.337525725,370.20825,293.5376222,283.9552146,287.210144,0.192954957
126,126,43.89121196,20.68835327,290.1396628,0.134048909,0.143404432,16.71241069,51.04783244,0.340195358,315.57983,293.5376222,283.9552146,287.210144,0.196495727
127,127,43.88288528,20.75562146,290.4041485,0.13668696,0.145362397,16.4485498,50.4418754,0.357850969,300.1892,292.1110484,283.4141134,287.2782338,0.226893708
128,128,43.87451512,20.82286881,289.664945,0.13668696,0.145362397,16.4485498,53.68406285,0.303002656,385.84204,292.1110484,283.4141134,287.2782338,0.183178663
129,129,43.86610153,20.89009523,288.3986961,0.161297945,0.173040366,16.06682937,57.64939478,0.272105217,541.03687,289.9285516,282.1213506,287.3495433,0.153108239
130,130,43.8576445,20.95730062,287.783326,0.161297945,0.173040366,16.06682937,60.03139348,0.272105217,632.136,289.9285516,282.1213506,287.3495433,0.153108239
131,131,43.84914408,21.02448489,288.5402162,0.144072456,0.155010775,16.4452316,57.78633065,0.268243432,505.04272,290.9961921,282.7311054,287.429423,0.148164988
132,132,43.84060027,21.09164793,289.6015769,0.144072456,0.155010775,16.4452316,53.9262504,0.331376135,280.20483,290.9961921,282.7311054,287.429423,0.204659641
133,133,43.83201312,21.15878965,289.6063241,0.210900191,0.255560273,17.07325579,53.73034112,0.370938301,274.7483,292.1442829,283.556093,287.5234731,0.239160299
134,134,43.82338262,21.22590994,290.0350622,0.210900191,0.255560273,17.07325579,52.90183634,0.288414776,399.02612,292.1442829,283.556093,287.5234731,0.168729216
135,135,43.81470882,21.29300871,290.8331579,0.168163785,0.211481132,17.60870606,50.50996351,0.326568782,310.4729,294.0080193,284.8428455,287.625117,0.182676107
136,136,43.80599173,21.36008587,291.7070999,0.168163785,0.211481132,17.60870606,48.00410419,0.238082036,134.42407,294.0080193,284.8428455,287.625117,0.118160307
137,137,43.79723138,21.42714131,291.1297887,0.126789038,0.153568394,17.42271816,49.5159857,0.223097399,151.8103,294.1347783,285.0947681,287.7344767,0.105031386
138,138,43.78842779,21.49417493,290.5587709,0.126789038,0.153568394,17.42271816,50.55363761,0.343585491,237.51733,294.1347783,285.0947681,287.7344767,0.220732555
139,139,43.77958098,21.56118665,289.5702455,0.192945754,0.25378001,16.57434785,53.65861808,0.369203985,303.40015,291.4009569,283.6605962,287.8516439,0.241532564
140,140,43.77069097,21.62817636,288.6620695,0.192945754,0.25378001,16.57434785,56.42456855,0.389651358,469.83716,291.4009569,283.6605962,287.8516439,0.258609772
141,141,43.7617578,21.69514397,287.6542028,0.223976512,0.278845758,15.85988215,59.54208151,0.353621483,606.5647,289.6660275,282.0173221,287.976766,0.220211342
142,142,43.75278148,21.76208938,287.5557327,0.223976512,0.278845758,15.85988215,59.42630461,0.332555532,591.6926,289.6660275,282.0173221,287.976766,0.188130334
